locality,type,population,district
Вокнаволок,деревня,427,Костомукшский городской округ
Заречный,посёлок,127,Костомукшский городской округ
Костомукша,город,29778,Костомукшский городской округ
Ладвозеро,деревня,0,Костомукшский городской округ
Поньгагуба,деревня,1,Костомукшский городской округ
Суднозеро,деревня,4,Костомукшский городской округ
Толлорека,деревня,2,Костомукшский городской округ
Петрозаводск,город,280711,Петрозаводский городской округ
Алалампи,станция,8,Сортавальский муниципальный район
Валаам,посёлок,447,Сортавальский муниципальный район
Вуорио,посёлок,41,Сортавальский муниципальный район
Вяртсиля,пгт,2916,Сортавальский муниципальный район
Заозёрный,посёлок,498,Сортавальский муниципальный район
Заречье,посёлок,43,Сортавальский муниципальный район
Кааламо,посёлок,1286,Сортавальский муниципальный район
Кекоселькя,посёлок,3,Сортавальский муниципальный район
Киркколахти,посёлок,11,Сортавальский муниципальный район
Кирьявалахти,посёлок,2,Сортавальский муниципальный район
Контиолахти,посёлок,1,Сортавальский муниципальный район
Красная Горка,посёлок,80,Сортавальский муниципальный район
Куконваара,посёлок,0,Сортавальский муниципальный район
Куокканиэми,посёлок,80,Сортавальский муниципальный район
Лавиярви,посёлок,17,Сортавальский муниципальный район
Ламберг,посёлок,78,Сортавальский муниципальный район
Лахденкюля,посёлок,91,Сортавальский муниципальный район
Леппяселькя,посёлок,12,Сортавальский муниципальный район
Маткаселькя,посёлок,80,Сортавальский муниципальный район
Мейери,посёлок,38,Сортавальский муниципальный район
Ниэмелянхови,посёлок,210,Сортавальский муниципальный район
Нукутталахти,посёлок,25,Сортавальский муниципальный район
Отраккала,посёлок,4,Сортавальский муниципальный район
Оявойс,посёлок,9,Сортавальский муниципальный район
Партала,посёлок,426,Сортавальский муниципальный район
Пирттипохья,станция,0,Сортавальский муниципальный район
Пуйккола,посёлок,429,Сортавальский муниципальный район
Рантуэ,посёлок,32,Сортавальский муниципальный район
Раутакангас,посёлок,19,Сортавальский муниципальный район
Рауталахти,посёлок,7,Сортавальский муниципальный район
Реускула,посёлок,31,Сортавальский муниципальный район
Рускеала,посёлок,694,Сортавальский муниципальный район
Рюттю,посёлок,89,Сортавальский муниципальный район
Саханкоски,посёлок,0,Сортавальский муниципальный район
Сортавала,город,18704,Сортавальский муниципальный район
Суйкка,хутор,0,Сортавальский муниципальный район
Тарулинна,посёлок,20,Сортавальский муниципальный район
Токкарлахти,посёлок,52,Сортавальский муниципальный район
Туокслахти,посёлок,121,Сортавальский муниципальный район
Туоксъярви,посёлок,3,Сортавальский муниципальный район
Уусикюля,посёлок,2,Сортавальский муниципальный район
участка № 1 совхоза «Сортавальский»,посёлок,42,Сортавальский муниципальный район
Хаапалампи,посёлок,876,Сортавальский муниципальный район
Ханки,местечко,31,Сортавальский муниципальный район
Ханнуккаланмяки,посёлок,8,Сортавальский муниципальный район
Хелюля,пгт,2369,Сортавальский муниципальный район
Хелюля,село,679,Сортавальский муниципальный район
Хотинлахти,посёлок,234,Сортавальский муниципальный район
Хюмпеля,посёлок,282,Сортавальский муниципальный район
Яккима,местечко,38,Сортавальский муниципальный район
Беломорск,город,9036,Беломорский район
Большая Уда,разъезд,0,Беломорский район
Вирандозеро,посёлок,519,Беломорский район
Вирма,село,22,Беломорский район
Вирма,станция,0,Беломорский район
Водников,посёлок,0,Беломорский район
Воренжа,деревня,0,Беломорский район
Выгостров,деревня,64,Беломорский район
Горелый Мост,разъезд,0,Беломорский район
Ендогуба,деревня,0,Беломорский район
Золотец,посёлок,647,Беломорский район
Кевятозеро,деревня,0,Беломорский район
Колежма,село,165,Беломорский район
Колежма,станция,4,Беломорский район
Красная Горка,деревня,0,Беломорский район
Лапино,деревня,38,Беломорский район
Летнее Озеро,деревня,2,Беломорский район
Летнереченский,посёлок,1780,Беломорский район
Летний-2,посёлок,53,Беломорский район
Лехта,село,24,Беломорский район
Маленга,посёлок,160,Беломорский район
Маленга,станция,2,Беломорский район
Матигора,деревня,7,Беломорский район
Машезеро,деревня,4,Беломорский район
Никонова Сельга,деревня,0,Беломорский район
Новое Машезеро,посёлок,408,Беломорский район
Ноттоваракка,деревня,1,Беломорский район
Нюхча,село,339,Беломорский район
Олимпий,деревня,0,Беломорский район
Остров Большой Жужмуй,деревня,2,Беломорский район
Палокоргской ГЭС,посёлок,0,Беломорский район
Пертозеро,деревня,1,Беломорский район
